year,name,approving,disapproving,unsure
1941,Franklin,0.6879535558780842,0.24528301886792453,0.06676342525399129
1942,Franklin,0.7768969422423556,0.14835787089467722,0.07474518686296716
1943,Franklin,0.7295918367346939,0.1836734693877551,0.08673469387755102
1945,Harry,0.8447837150127226,0.06361323155216285,0.0916030534351145
1946,Harry,0.4361567635903919,0.4247787610619469,0.1390644753476612
1947,Harry,0.5770528683914511,0.27334083239595053,0.14960629921259844
1948,Harry,0.3783783783783784,0.46959459459459457,0.15202702702702703
1949,Harry,0.5480607082630692,0.2866779089376054,0.16526138279932545
1950,Harry,0.39086294416243655,0.4430746918056563,0.1660623640319072
1951,Harry,0.2604698672114402,0.5985699693564862,0.14096016343207354
1952,Harry,0.2924791086350975,0.5979572887650882,0.1095636025998143
1953,Dwight,0.7005597014925373,0.1417910447761194,0.15764925373134328
1954,Dwight,0.6609305289993627,0.21669853409815168,0.12237093690248566
1955,Dwight,0.7145762711864406,0.15661016949152542,0.1288135593220339
1956,Dwight,0.7370653095843935,0.16030534351145037,0.10262934690415607
1957,Dwight,0.6476190476190476,0.21904761904761905,0.13333333333333333
1958,Dwight,0.5485636114911081,0.30506155950752395,0.146374829001368
1959,Dwight,0.6370023419203747,0.22092115534738485,0.14207650273224043
1960,Dwight,0.6185915492957746,0.25464788732394367,0.1267605633802817
1961,John,0.7661115133960897,0.09268645908761766,0.14120202751629254
1962,John,0.7194076383476228,0.16289945440374123,0.11769290724863601
1963,John,0.6407438715131023,0.2375316990701606,0.12172442941673711
1963,Lyndon,0.7614213197969543,0.030456852791878174,0.20812182741116753
1964,Lyndon,0.7562695924764891,0.10736677115987461,0.13636363636363635
1965,Lyndon,0.6688583383144052,0.20382546323968917,0.12731619844590555
1966,Lyndon,0.517438173747622,0.34369055168040585,0.1388712745719721
1967,Lyndon,0.4351464435146444,0.4219964136282128,0.14285714285714285
1968,Lyndon,0.4270101483216237,0.45511319281811086,0.11787665886026542
1969,Lyndon,0.49,0.37,0.14
1969,Richard,0.5962417470797359,0.17775520568816658,0.22600304723209752
1970,Richard,0.5634517766497462,0.2870840383530739,0.14946418499717992
1971,Richard,0.4815083393763597,0.3604060913705584,0.15808556925308195
1972,Richard,0.5654822335025381,0.3319796954314721,0.10253807106598985
1973,Richard,0.4238375200427579,0.4681988241582042,0.10796365579903795
1974,Gerald,0.541191381495564,0.2585551330798479,0.2002534854245881
1974,Richard,0.256563245823389,0.616945107398568,0.12649164677804295
1975,Gerald,0.4315415821501014,0.40720081135902636,0.1612576064908722
1976,Gerald,0.48419721871049304,0.3868520859671302,0.12895069532237674
1977,Jimmy,0.627161535217208,0.19654154365246732,0.17629692113032475
1978,Jimmy,0.4545838614279679,0.38234051542036335,0.1630756231516688
1979,Jimmy,0.369284876905041,0.49745994529112936,0.13325517780382962
1980,Jimmy,0.4083582089552239,0.4871641791044776,0.1044776119402985
1981,Ronald,0.5767164179104478,0.2853731343283582,0.13791044776119402
1982,Ronald,0.44017094017094016,0.4599358974358974,0.0998931623931624
1983,Ronald,0.43908629441624364,0.4593908629441624,0.10152284263959391
1984,Ronald,0.5479285134037368,0.35987002437043053,0.09220146222583266
1985,Ronald,0.6166328600405679,0.2905679513184584,0.09279918864097363
1986,Ronald,0.6306037059175135,0.2749551703526599,0.09444112372982666
1987,Ronald,0.49677121771217714,0.41005535055350556,0.09317343173431734
1988,Ronald,0.5386565272496832,0.36248415716096327,0.09885931558935361
1989,George,0.6287964004499438,0.17622797150356206,0.19497562804649418
1990,George,0.6614006130629568,0.23084178259844376,0.10775760433859939
1991,George,0.7437141596823996,0.18416409351565946,0.07212174680194089
1992,George,0.3940520446096654,0.5291201982651796,0.0768277571251549
1993,George,0.56,0.37,0.07
1993,William,0.4874107478391582,0.41037204058624577,0.10221721157459601
1994,William,0.46799580272822666,0.46239944036376357,0.0696047569080098
1995,William,0.4758220502901354,0.43423597678916825,0.08994197292069632
1996,William,0.5434083601286174,0.38401469912723935,0.07257694074414332
1997,William,0.5823618854536239,0.335022807906741,0.08261530663963507
1998,William,0.639635073492144,0.31728332488596045,0.04308160162189559
1999,William,0.6209133367929424,0.34535547483134404,0.033731188375713546
2000,William,0.6064446053584359,0.3566256335988414,0.036929761042722664
2001,George,0.6695331695331695,0.24232186732186733,0.08814496314496315
2001,William,0.6515151515151515,0.30303030303030304,0.045454545454545456
2002,George,0.7288651942117289,0.2206143691292206,0.05052043665905052
2003,George,0.6121227887617066,0.350156087408949,0.037721123829344436
2004,George,0.5111691325790543,0.4621409921671018,0.026689875253843923
2005,George,0.4597118463180363,0.5069370330843116,0.03335112059765208
2006,George,0.37887370876374543,0.5778073975341553,0.0433188937020993
2007,George,0.3355136590996537,0.6221623701423624,0.04232397075798384
2008,George,0.29964285714285716,0.6532142857142857,0.047142857142857146
2009,Barack,0.5762324319380506,0.3392274625773605,0.08454010548458889
2009,George,0.34,0.61,0.05
2010,Barack,0.46857848912387573,0.4577454670842792,0.07367604379184506
2011,Barack,0.44693169766975266,0.47206856029120925,0.08099974203903809
2012,Barack,0.4755822689706987,0.4557880136392533,0.06862971739004797
2013,Barack,0.4648168195544413,0.4639051905874309,0.07127798985812774
2014,Barack,0.4236372518031091,0.5198701186747507,0.05649262952214017
2015,Barack,0.46180654744900873,0.49131577443866764,0.0468776781123236
2016,Barack,0.4896039603960396,0.4700990099009901,0.0402970297029703
