name,year,count
Allen,1976,1987
Charles,1976,14040
David,1976,39525
Derrick,1976,2949
Dirk,1976,123
Hakeem,1976,30
Julius,1976,356
Karl,1976,895
Kevin,1976,18600
Larry,1976,4887
Magic,1976,5
Michael,1976,67486
Moses,1976,319
Stephen,1976,9797
Steve,1976,1418
Tim,1976,295
Allen,1977,1844
Charles,1977,14833
David,1977,40800
Derrick,1977,3526
Dirk,1977,114
Hakeem,1977,33
Julius,1977,449
Karl,1977,965
Kevin,1977,22631
Larry,1977,4890
Michael,1977,68172
Moses,1977,314
Stephen,1977,9698
Steve,1977,1282
Tim,1977,256
Allen,1978,1838
Charles,1978,14970
David,1978,40943
Derrick,1978,3827
Dirk,1978,101
Hakeem,1978,32
Julius,1978,457
Karl,1978,923
Kevin,1978,20216
Larry,1978,4566
Michael,1978,67698
Moses,1978,319
Stephen,1978,9945
Steve,1978,1248
Tim,1978,245
Allen,1979,1959
Charles,1979,14958
David,1979,42354
Derrick,1979,3765
Dirk,1979,176
Hakeem,1979,42
Julius,1979,475
Karl,1979,980
Kevin,1979,18857
Larry,1979,4431
Michael,1979,68281
Moses,1979,373
Stephen,1979,9962
Steve,1979,1266
Tim,1979,146
Allen,1980,2224
Charles,1980,15073
David,1980,42204
Derrick,1980,4171
Dirk,1980,148
Hakeem,1980,32
Julius,1980,514
Karl,1980,1081
Kevin,1980,18093
Larry,1980,4324
Magic,1980,6
Michael,1980,69212
Moses,1980,350
Stephen,1980,10135
Steve,1980,1233
Tim,1980,166
Allen,1981,2080
Charles,1981,14531
David,1981,40867
Derrick,1981,3885
Dirk,1981,121
Hakeem,1981,31
Julius,1981,517
Karl,1981,1087
Kevin,1981,17569
Larry,1981,3990
Magic,1981,6
Michael,1981,69239
Moses,1981,359
Stephen,1981,10357
Steve,1981,1125
Tim,1981,162
Allen,1982,2238
Charles,1982,14427
David,1982,40690
Derrick,1982,3688
Dirk,1982,97
Hakeem,1982,21
Julius,1982,542
Karl,1982,998
Kevin,1982,17579
Larry,1982,3749
Magic,1982,6
Michael,1982,68780
Moses,1982,347
Stephen,1982,10698
Steve,1982,1035
Tim,1982,139
Allen,1983,2264
Charles,1983,13330
David,1983,39513
Derrick,1983,3690
Dirk,1983,128
Hakeem,1983,35
Julius,1983,589
Karl,1983,942
Kevin,1983,17516
Larry,1983,3411
Magic,1983,5
Michael,1983,68563
Moses,1983,332
Stephen,1983,11637
Steve,1983,1070
Tim,1983,96
Allen,1984,2146
Charles,1984,13051
David,1984,38705
Derrick,1984,3694
Dirk,1984,122
Hakeem,1984,50
Julius,1984,513
Karl,1984,918
Kevin,1984,17978
Larry,1984,3130
Magic,1984,7
Michael,1984,68230
Moses,1984,337
Stephen,1984,12164
Steve,1984,1047
Tim,1984,122
Allen,1985,2208
Charles,1985,12996
David,1985,38793
Derrick,1985,3820
Dirk,1985,112
Hakeem,1985,36
Julius,1985,496
Karl,1985,991
Kevin,1985,18953
Larry,1985,2975
Magic,1985,7
Michael,1985,65418
Moses,1985,314
Stephen,1985,12301
Steve,1985,998
Tim,1985,101
Allen,1986,2149
Charles,1986,12704
David,1986,37407
Derrick,1986,3365
Dirk,1986,106
Hakeem,1986,29
Julius,1986,460
Karl,1986,931
Kevin,1986,20076
Larry,1986,2643
Magic,1986,8
Michael,1986,64774
Moses,1986,291
Stephen,1986,11954
Steve,1986,1001
Tim,1986,73
Allen,1987,2187
Charles,1987,12246
David,1987,37028
Derrick,1987,3566
Dirk,1987,99
Hakeem,1987,55
Julius,1987,511
Karl,1987,876
Kevin,1987,20548
Larry,1987,2519
Magic,1987,5
Michael,1987,64175
Moses,1987,318
Stephen,1987,11620
Steve,1987,1010
Tim,1987,83
Allen,1988,2217
Charles,1988,12188
David,1988,35554
Derrick,1988,3331
Dirk,1988,115
Hakeem,1988,65
Julius,1988,507
Karl,1988,865
Kevin,1988,20274
Larry,1988,2470
Magic,1988,5
Michael,1988,64596
Moses,1988,296
Stephen,1988,11667
Steve,1988,970
Tim,1988,92
Allen,1989,2371
Charles,1989,12304
David,1989,35351
Derrick,1989,3458
Dirk,1989,107
Hakeem,1989,279
Julius,1989,552
Karl,1989,923
Kevin,1989,21298
Kobe,1989,5
Larry,1989,2350
Magic,1989,5
Michael,1989,65737
Moses,1989,334
Shaquille,1989,14
Stephen,1989,11794
Steve,1989,1001
Tim,1989,95
Allen,1990,2233
Charles,1990,12032
David,1990,33861
Derrick,1990,3376
Dirk,1990,82
Hakeem,1990,272
Julius,1990,579
Karl,1990,862
Kevin,1990,20472
Larry,1990,2199
Michael,1990,65551
Moses,1990,292
Shaquille,1990,127
Stephen,1990,11975
Steve,1990,1012
Tim,1990,75
Allen,1991,2122
Charles,1991,11368
David,1991,30508
Derrick,1991,3104
Dirk,1991,76
Hakeem,1991,241
Julius,1991,511
Karl,1991,816
Kevin,1991,20339
Larry,1991,2086
Magic,1991,6
Michael,1991,61048
Moses,1991,338
Shaquille,1991,250
Stephen,1991,10564
Steve,1991,901
Tim,1991,67
Allen,1992,1930
Charles,1992,10496
David,1992,28520
Derrick,1992,2921
Dirk,1992,67
Hakeem,1992,200
Julius,1992,485
Karl,1992,738
Kevin,1992,19693
Larry,1992,1871
Magic,1992,9
Michael,1992,54635
Moses,1992,323
Shaquille,1992,609
Stephen,1992,9348
Steve,1992,887
Tim,1992,77
Allen,1993,1911
Charles,1993,9883
David,1993,27106
Derrick,1993,2719
Dirk,1993,67
Hakeem,1993,166
Julius,1993,421
Karl,1993,671
Kevin,1993,19128
Larry,1993,1789
Magic,1993,8
Michael,1993,49775
Moses,1993,358
Shaquille,1993,1910
Stephen,1993,8380
Steve,1993,837
Tim,1993,64
Allen,1994,1759
Charles,1994,9034
David,1994,24934
Derrick,1994,2580
Dirk,1994,57
Hakeem,1994,264
Julius,1994,390
Karl,1994,612
Kevin,1994,17362
Larry,1994,1568
Michael,1994,44656
Moses,1994,346
Shaquille,1994,1341
Stephen,1994,7494
Steve,1994,714
Tim,1994,69
Allen,1995,1557
Charles,1995,8496
David,1995,23099
Derrick,1995,2197
Dirk,1995,49
Hakeem,1995,247
Julius,1995,409
Karl,1995,598
Kevin,1995,15911
Kobe,1995,9
Larry,1995,1409
Magic,1995,9
Michael,1995,41570
Moses,1995,303
Shaquille,1995,513
Stephen,1995,6576
Steve,1995,753
Tim,1995,51
Allen,1996,1470
Charles,1996,8266
David,1996,23055
Derrick,1996,1993
Dirk,1996,59
Hakeem,1996,241
Julius,1996,405
Karl,1996,503
Kevin,1996,14613
Kobe,1996,87
Larry,1996,1371
Michael,1996,38521
Moses,1996,366
Shaquille,1996,250
Stephen,1996,6023
Steve,1996,649
Tim,1996,61
Allen,1997,1410
Charles,1997,7670
David,1997,21906
Derrick,1997,1783
Dirk,1997,32
Hakeem,1997,226
Julius,1997,442
Karl,1997,482
Kevin,1997,13324
Kobe,1997,363
Larry,1997,1238
Michael,1997,37685
Moses,1997,393
Shaquille,1997,96
Stephen,1997,5425
Steve,1997,627
Tim,1997,57
Allen,1998,1311
Charles,1998,7857
David,1998,20911
Derrick,1998,1756
Dirk,1998,45
Hakeem,1998,194
Julius,1998,449
Karl,1998,455
Kevin,1998,12523
Kobe,1998,1116
Larry,1998,1208
Michael,1998,36741
Moses,1998,421
Shaquille,1998,66
Stephen,1998,5015
Steve,1998,640
Tim,1998,61
Allen,1999,1316
Charles,1999,7535
David,1999,20361
Derrick,1999,1617
Dirk,1999,46
Hakeem,1999,134
Julius,1999,431
Karl,1999,389
Kevin,1999,12286
Kobe,1999,883
Larry,1999,1255
Michael,1999,34028
Moses,1999,455
Shaquille,1999,39
Stephen,1999,4551
Steve,1999,660
Tim,1999,74
Allen,2000,1354
Charles,2000,7538
David,2000,19793
Derrick,2000,1596
Dirk,2000,44
Hakeem,2000,132
Julius,2000,484
Karl,2000,366
Kevin,2000,12697
Kobe,2000,1457
Larry,2000,1117
Magic,2000,9
Michael,2000,32139
Moses,2000,515
Shaquille,2000,56
Stephen,2000,4139
Steve,2000,649
Tim,2000,91
Allen,2001,1391
Charles,2001,7299
David,2001,19371
Derrick,2001,1455
Dirk,2001,33
Hakeem,2001,115
Julius,2001,606
Karl,2001,350
Kevin,2001,12627
