name,year,count
Aaron,1976,11502
Adrian,1976,2329
Brett,1976,2502
Brian,1976,30689
Dan,1976,401
Earl,1976,954
Emmitt,1976,33
Joe,1976,2204
John,1976,34199
Ken,1976,140
Kurt,1976,1019
Lawrence,1976,2274
Marcus,1976,3721
Mark,1976,15594
Peyton,1976,47
Rich,1976,11
Shaun,1976,668
Steve,1976,1418
Terrell,1976,535
Thurman,1976,69
Tom,1976,324
Aaron,1977,11780
Adrian,1977,2534
Brett,1977,2568
Brian,1977,32679
Dan,1977,377
Earl,1977,1013
Emmitt,1977,34
Joe,1977,2166
John,1977,34450
Ken,1977,124
Kurt,1977,1119
Lawrence,1977,2341
Marcus,1977,3884
Mark,1977,15523
Peyton,1977,39
Rich,1977,15
Shaun,1977,2671
Steve,1977,1282
Terrell,1977,621
Thurman,1977,76
Tom,1977,286
Aaron,1978,12471
Adrian,1978,2624
Brett,1978,2374
Brian,1978,29622
Dan,1978,353
Earl,1978,938
Emmitt,1978,36
Joe,1978,2074
John,1978,34247
Ken,1978,137
Kurt,1978,1070
Lawrence,1978,2272
Marcus,1978,4046
Mark,1978,14958
Peyton,1978,53
Rich,1978,19
Shaun,1978,6221
Steve,1978,1248
Terrell,1978,525
Thurman,1978,58
Tom,1978,244
Aaron,1979,13218
Adrian,1979,2712
Brett,1979,3073
Brian,1979,28826
Dan,1979,336
Earl,1979,909
Emmitt,1979,40
Joe,1979,1992
John,1979,35679
Ken,1979,117
Kurt,1979,1257
Lawrence,1979,2280
Marcus,1979,4093
Mark,1979,14480
Peyton,1979,53
Rich,1979,15
Shaun,1979,4843
Steve,1979,1266
Terrell,1979,625
Thurman,1979,67
Tom,1979,262
Aaron,1980,13342
Adrian,1980,2737
Brett,1980,3210
Brian,1980,28891
Dan,1980,341
Earl,1980,910
Emmitt,1980,32
Joe,1980,2008
John,1980,35514
Ken,1980,142
Kurt,1980,1288
Lawrence,1980,2190
Marcus,1980,4301
Mark,1980,14235
Peyton,1980,40
Rich,1980,10
Shaun,1980,3999
Steve,1980,1233
Terrell,1980,632
Thurman,1980,66
Tom,1980,237
Aaron,1981,14838
Adrian,1981,2783
Brett,1981,3851
Brian,1981,26744
Dan,1981,372
Earl,1981,872
Emmitt,1981,27
Joe,1981,1895
John,1981,35073
Ken,1981,145
Kurt,1981,1170
Lawrence,1981,2214
Marcus,1981,4548
Mark,1981,13630
Peyton,1981,50
Rich,1981,16
Shaun,1981,3456
Steve,1981,1125
Terrell,1981,635
Thurman,1981,60
Tom,1981,244
Aaron,1982,14563
Adrian,1982,2923
Brett,1982,4141
Brian,1982,25977
Dan,1982,320
Earl,1982,891
Emmitt,1982,21
Joe,1982,1889
John,1982,34917
Ken,1982,137
Kurt,1982,1189
Lawrence,1982,2151
Marcus,1982,5020
Mark,1982,13966
Peyton,1982,57
Rich,1982,13
Shaun,1982,3211
Steve,1982,1035
Terrell,1982,703
Thurman,1982,63
Tom,1982,195
Aaron,1983,14627
Adrian,1983,3022
Brett,1983,4062
Brian,1983,26216
Dan,1983,286
Earl,1983,776
Emmitt,1983,15
Joe,1983,1633
John,1983,33408
Ken,1983,104
Kurt,1983,979
Lawrence,1983,2046
Marcus,1983,5697
Mark,1983,13901
Peyton,1983,62
Rich,1983,11
Shaun,1983,2507
Steve,1983,1070
Terrell,1983,737
Thurman,1983,60
Tom,1983,199
Aaron,1984,13532
Adrian,1984,3112
Brett,1984,4168
Brian,1984,24864
Dan,1984,266
Earl,1984,791
Emmitt,1984,28
Joe,1984,1613
John,1984,32828
Ken,1984,116
Kurt,1984,975
Lawrence,1984,1884
Marcus,1984,6056
Mark,1984,13282
Peyton,1984,75
Rich,1984,12
Shaun,1984,2301
Steve,1984,1047
Terrell,1984,834
Thurman,1984,53
Tom,1984,186
Aaron,1985,13271
Adrian,1985,3518
Brett,1985,4420
Brian,1985,23189
Dan,1985,272
Earl,1985,691
Emmitt,1985,31
Joe,1985,1616
John,1985,31723
Ken,1985,112
Kurt,1985,1018
Lawrence,1985,1956
Marcus,1985,5650
Mark,1985,13276
Peyton,1985,79
Rich,1985,20
Shaun,1985,2399
Steve,1985,998
Terrell,1985,912
Thurman,1985,42
Tom,1985,179
Aaron,1986,12824
Adrian,1986,3248
Brett,1986,4900
Brian,1986,21158
Dan,1986,276
Earl,1986,658
Emmitt,1986,37
Joe,1986,1560
John,1986,30403
Ken,1986,101
Kurt,1986,1064
Lawrence,1986,1810
Marcus,1986,5338
Mark,1986,12680
Peyton,1986,107
Rich,1986,14
Shaun,1986,2107
Steve,1986,1001
Terrell,1986,885
Thurman,1986,27
Tom,1986,188
Aaron,1987,12820
Adrian,1987,3200
Brett,1987,4557
Brian,1987,20476
Dan,1987,228
Earl,1987,632
Emmitt,1987,19
Joe,1987,1508
John,1987,29730
Ken,1987,126
Kurt,1987,1029
Lawrence,1987,1917
Marcus,1987,5000
Mark,1987,12054
Peyton,1987,109
Rich,1987,14
Shaun,1987,1855
Steve,1987,1010
Terrell,1987,883
Thurman,1987,45
Tom,1987,176
Aaron,1988,14526
Adrian,1988,3601
Brett,1988,4471
Brian,1988,19647
Dan,1988,260
Earl,1988,640
Emmitt,1988,26
Joe,1988,1492
John,1988,29557
Ken,1988,111
Kurt,1988,1041
Lawrence,1988,1872
Marcus,1988,5244
Mark,1988,11785
Peyton,1988,122
Rich,1988,20
Shaun,1988,1688
Steve,1988,970
Terrell,1988,942
Thurman,1988,37
Tom,1988,188
Aaron,1989,15414
Adrian,1989,3722
Brett,1989,4544
Brian,1989,18167
Dan,1989,246
Earl,1989,602
Emmitt,1989,22
Joe,1989,1509
John,1989,29970
Ken,1989,137
Kurt,1989,977
Lawrence,1989,1766
